Screen Name,User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Phone Type,Hashtags
Pardoe_AI,b'Prof Andy Pardoe #intoAI #AI Conf & Expo 31st Oct',8/16/2019 10:06,b'RT @HeartIn_net: The Future Of Life Science And Tech Innovation Is In Clusters #LifeSciences #BioTEch  //t #fitness #health #training #heal\xe2\x80\xa6',b'Global',2,b'integration with twitter25', LifeSciences BioTEch fitness health training
DME_Jun,b'DME Intelligence',8/16/2019 9:55,b'RT @HeartIn_net: Doctors and Engineers Aim to Build a Device to Prevent the Need for a Heart Transplant  #fitness #health #training #health\xe2\x80\xa6',"b'Boston, MA'",1,b'DME Intelligence_Jun', fitness health training
DME_Jun,b'DME Intelligence',8/16/2019 9:55,b'RT @HeartIn_net: The Future Of Life Science And Tech Innovation Is In Clusters #LifeSciences #BioTEch  //t #fitness #health #training #heal\xe2\x80\xa6',"b'Boston, MA'",2,b'DME Intelligence_Jun', LifeSciences BioTEch fitness health training
DME_Jun,b'DME Intelligence',8/16/2019 9:40,b'RT @HeartIn_net: Adult Human Heart Tissue Grown Using Biowire II Platform  #CardiacSurgery #Cardiology #Medicine  #fitness #health #trainin\xe2\x80\xa6',"b'Boston, MA'",1,b'DME Intelligence_Jun', CardiacSurgery Cardiology Medicine fitness health
DME_Jun,b'DME Intelligence',8/16/2019 8:54,b'RT @HeartIn_net: Researchers develop wearable fetal heartbeat sensor from consumer-grade devices #Aim2Innovate #Engage4Health //t. #fitness\xe2\x80\xa6',"b'Boston, MA'",1,b'DME Intelligence_Jun', Aim2Innovate Engage4Health fitness
DME_Jun,b'DME Intelligence',8/16/2019 8:54,b'RT @HeartIn_net: Solera marketplace now offering ASL diabetes prevention program to residents in Kansas City #Engage4Health //t.co #fitness\xe2\x80\xa6',"b'Boston, MA'",1,b'DME Intelligence_Jun', Engage4Health fitness
DME_Jun,b'DME Intelligence',8/16/2019 8:40,"b'RT @HeartIn_net: MedAnswers lands $5M, launches FertilityAnswers tool #HITventure #Engage4Health  #fitness #health #training #healthy #heal\xe2\x80\xa6'","b'Boston, MA'",1,b'DME Intelligence_Jun', HITventure Engage4Health fitness health training healthy
DME_Jun,b'DME Intelligence',8/16/2019 8:25,"b""RT @HeartIn_net: The wearable tech that's boosting women\xe2\x80\x99s health and fitness  // #fitness #health #training #healthy #healthylifestyle #ca\xe2\x80\xa6""","b'Boston, MA'",4,b'DME Intelligence_Jun', fitness health training healthy healthylifestyle
DME_Jun,b'DME Intelligence',8/16/2019 8:25,b'RT @HeartIn_net: New Hampshire law to expand telemedicine reimbursement #GovHIT  #fitness #health #training #healthy #healthylifestyle #car\xe2\x80\xa6',"b'Boston, MA'",1,b'DME Intelligence_Jun', GovHIT fitness health training healthy healthylifestyle
Fitness44971707,b'Natural Premier Plus \xf0\x9f\x8c\xbf',8/16/2019 8:17,"b""RT @HeartIn_net: The wearable tech that's boosting women\xe2\x80\x99s health and fitness  // #fitness #health #training #healthy #healthylifestyle #ca\xe2\x80\xa6""",b'',4,b'Twitter Web App', fitness health training healthy healthylifestyle
Fitness44971707,b'Natural Premier Plus \xf0\x9f\x8c\xbf',8/16/2019 8:17,b'RT @TV_HIEC_Chair: RT @HeartIn_net: New Hampshire law to expand telemedicine reimbursement #GovHIT  #fitness #health #training #healthy #he\xe2\x80\xa6',b'',1,b'Twitter Web App', GovHIT fitness health training healthy
BrainRoaring,b'Roaring Brain',8/16/2019 8:14,"b""RT @HeartIn_net: The wearable tech that's boosting women\xe2\x80\x99s health and fitness  // #fitness #health #training #healthy #healthylifestyle #ca\xe2\x80\xa6""",b'',4,b'App roaring brain', fitness health training healthy healthylifestyle
TV_HIEC_Chair,b'TV HIEC Chair',8/16/2019 8:14,b'RT @HeartIn_net: New Hampshire law to expand telemedicine reimbursement #GovHIT  #fitness #health #training #healthy #healthylifestyle #cardio #healthyliving #healthylife #medicine #healthcare #AI #cardioworkout #cardiologia #cardiology #wearable #cardio\xe2\x80\xa6 https://t.co/cIOavLd0Be',b'Oxford',1,b'IFTTT', GovHIT fitness health training healthy healthylifestyle cardio healthyliving healthylife medicine healthcare AI cardioworkout cardiologia cardiology wearable cardio
Rovio_Red,b'Rovio',8/16/2019 4:30,b'RT @MikeQuindazzi: 4 steps to #digital upskill #talent in the #enterprise &gt;&gt;&gt; @MikeQuindazzi &gt;&gt;&gt;  #ai #machinelearning #iot #futureofwork #\xe2\x80\xa6',b'',34,b'Twitter Web App', digital talent enterprise ai machinelearning iot futureofwork
ArkangelScrap,b'ArkangelScrap',8/15/2019 16:50,b'RT @MikeQuindazzi: 4 steps to #digital upskill #talent in the #enterprise &gt;&gt;&gt; @MikeQuindazzi &gt;&gt;&gt;  #ai #machinelearning #iot #futureofwork #\xe2\x80\xa6',b'France',34,b'Tweepsmap', digital talent enterprise ai machinelearning iot futureofwork
SantchiWeb,b'Santchi',8/15/2019 15:10,b'RT @GaneshAtkale: Humanoid #Robot does exercises to get stronger Thanks for sharing @MikeQuindazzi \n\n #fitness #robotics #robot #ai #automa\xe2\x80\xa6',b'Wirral',85,b'Santchi App', Robot fitness robotics robot ai
GaneshAtkale,b'Ganesh Atkale',8/15/2019 15:10,b'RT @GaneshAtkale: Humanoid #Robot does exercises to get stronger Thanks for sharing @MikeQuindazzi \n\n #fitness #robotics #robot #ai #automa\xe2\x80\xa6',"b'Pune, India'",85,b'Twitter for iPhone', Robot fitness robotics robot ai
