User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Polarity,Subjectivity
Ommcom News,7/21/2019 11:53,"countdown for monday's chandrayaan2 mission launch will start at 6.43 pm today, said isro chairman k. sivan nationalnews ommcomnews","Bhubaneshwar, India",0,0.0,0.0
(In)Significant News,7/21/2019 11:48,looking into what matters 21.07.2019 news significant insignificantnews government newsmedia digitalnews whatmatters sheiladikshit sheilanomore chandrayaan2 imrankhan polygamy fattepur moblynching dalitrights westbengalpolice ,nan,0,0.375,0.875
Lakshmi Iyer,7/21/2019 11:46,the next neil armstrong may be chinese as race to moon intensifies chandrayaan2 ,"New Delhi, India",0,0.0,0.0
DT Next,7/21/2019 11:46,"the countdown for monday's chandrayaan2 mission launch on will start at 6.43 p.m. today, isro chairman sivan has said.dtnext ","Chennai, India",0,0.0,0.0
Vats,7/21/2019 11:45,good luck bahubali ! chandrayaan2 chandrayan2 ,India,0,0.875,0.6000000000000001
Kondaiah Nali,7/21/2019 11:40,all the very best chandrayaan2🚀 everything is ready 👌💐💐🎊 count down started chandrayaan2 isromissions gslvmkiii,"Tamil Nadu, India",0,0.3481481481481481,0.39296296296296296
India Today,7/21/2019 11:38,"chandrayaan2: during the countdown period, the rocket and spacecraft's systems will undergo checks and fuelling. ",India,5,0.0,0.0
BlueCap Services,7/21/2019 11:38,"the whole world is watching once again, indian history is repeating with the name of ""chandrayaan 2"" launching at 2:43 pm on july 22, 2019. wishing you a great success for team isro. chandrayaan2 gslvmkiii isro ",nan,2,0.43333333333333335,0.3833333333333333
Soumya Ranjan Swain,7/21/2019 11:34,wish chandrayaan2 will be a great success. good luck isro watch the video on 🇮🇳isromissions🇮🇳 chandrayaan2 ,"Bhubaneshwar, India",0,0.6,0.45
PIB India,7/21/2019 11:32,it isn’t just the adults who are excited about chandrayaan2🚀 here’s what some students had to share about the upcoming mission and what they hope will be its outcome. all the best chandrayaan2🚀 isromissions gslvmkiii ,New Delhi,21,0.6875,0.525
